Index,Best,Mean,Individual
0,4135.451172226642,42.23573822224771,"POW(POW(COS(SQRT(2.0)), SUB(MUL(2.0, -1.0), MUL(1.0, 2.72))), DIV(COS(DIV(-1.0, 3.14)), COS(MUL(0.0, x))))"
1,4135.451172226642,127.503145411278,"POW(POW(COS(SQRT(2.0)), SUB(MUL(2.0, -1.0), MUL(1.0, 2.72))), DIV(COS(DIV(-1.0, 3.14)), COS(MUL(0.0, x))))"
2,4937617.253113732,52562.802264040525,"POW(POW(COS(SQRT(2.0)), SUB(MUL(2.0, -1.0), MUL(1.0, 2.72))), DIV(COS(DIV(-1.0, 3.14)), COS(MUL(1.0, -1.0))))"
3,7.105184044238369e+38,7.105184044238369e+36,"POW(POW(SQRT(SIN(3.14)), SUB(MUL(2.0, -1.0), MUL(1.0, 3.14))), DIV(COS(DIV(-1.0, 3.14)), COS(MUL(0.0, x))))"
4,4.3824720567256235e+79,4.3824720567256234e+77,"POW(POW(SQRT(SIN(3.14)), SUB(MUL(2.0, -1.0), MUL(2.72, 3.14))), DIV(COS(DIV(-1.0, 3.14)), COS(MUL(0.0, x))))"
5,3.508605422742087e+108,3.5086054227519217e+106,"POW(POW(SQRT(SIN(3.14)), SUB(MUL(ADD(2.0, x), -1.0), MUL(1.0, 3.14))), DIV(3.14, SQRT(2.0)))"
6,1.7606270452759734e+204,2.6532764541936655e+202,"POW(POW(SQRT(SIN(3.14)), SUB(MUL(2.0, -1.0), MUL(ADD(3.14, 2.0), 3.14))), DIV(2.0, SQRT(2.0)))"
7,2.8389503902910172e+206,2.8920159193749895e+204,"POW(POW(SQRT(SIN(3.14)), SUB(MUL(3.14, -1.0), MUL(2.72, 3.14))), DIV(3.14, SQRT(2.0)))"
8,2.690413383772201e+288,2.6904133837722012e+286,"POW(POW(SQRT(SIN(3.14)), SUB(MUL(ADD(2.0, x), -1.0), MUL(2.72, 3.14))), 3.14)"
9,7.222776808738975e+301,7.222776808740051e+299,"POW(POW(SQRT(SIN(3.14)), SUB(MUL(3.14, -1.0), MUL(x, 3.14))), DIV(MUL(2.72, 3.14), SQRT(2.0)))"
10,7.222776808738975e+301,2.8891107235889553e+300,"POW(POW(SQRT(SIN(3.14)), SUB(MUL(3.14, -1.0), MUL(x, 3.14))), DIV(MUL(2.72, 3.14), SQRT(2.0)))"
11,7.222776808738975e+301,5.778221447084562e+300,"POW(POW(SQRT(SIN(3.14)), SUB(MUL(3.14, -1.0), MUL(x, 3.14))), DIV(MUL(2.72, 3.14), SQRT(2.0)))"
12,7.222776808738975e+301,5.0559437663967435e+300,"POW(POW(SQRT(SIN(3.14)), SUB(MUL(3.14, -1.0), MUL(x, 3.14))), DIV(MUL(2.72, 3.14), SQRT(2.0)))"
13,7.222776808738975e+301,5.778221447363764e+300,"POW(POW(SQRT(SIN(3.14)), SUB(MUL(3.14, -1.0), MUL(x, 3.14))), DIV(MUL(2.72, 3.14), SQRT(2.0)))"
14,7.222776808738975e+301,8.667332170859495e+300,"POW(POW(SQRT(SIN(3.14)), SUB(MUL(3.14, -1.0), MUL(x, 3.14))), DIV(MUL(2.72, 3.14), SQRT(2.0)))"
